ckpt,area_set,rule,healthy_mse,lesioned_mse,delta_mse
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,delayanti_s1,1.7992523908615112,1.794039011001587,-0.005213379859924316
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,delayanti_v1,1.842779278755188,1.8573614358901978,0.014582157135009766
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,delaygo_s1,2.4239461421966553,2.423424005508423,-0.0005221366882324219
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,delaygo_v1,1.9967906475067139,1.9883909225463867,-0.008399724960327148
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,dmcgo,5.650471210479736,5.654123306274414,0.0036520957946777344
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,dmcnogo,4.3760552406311035,4.36633825302124,-0.009716987609863281
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,dmsgo,3.638061046600342,3.632493257522583,-0.005567789077758789
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,dmsnogo,4.126534938812256,4.128234386444092,0.0016994476318359375
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,fdanti_s1,2.4348838329315186,2.45104718208313,0.016163349151611328
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,fdanti_v1,2.865140676498413,2.877678394317627,0.012537717819213867
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,fdgo_s1,5.276537895202637,5.277544975280762,0.001007080078125
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,fdgo_v1,5.570704460144043,5.574389934539795,0.003685474395751953
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,reactanti_s1,8.293769836425781,8.348105430603027,0.054335594177246094
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,reactanti_v1,8.147673606872559,8.15882682800293,0.011153221130371094
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,reactgo_s1,5.402553558349609,5.3986053466796875,-0.003948211669921875
saved_models\cernn\dummy-gjrpyr8h\last.ckpt,L_IFJp L_IFJa L_p9_46v L_a9_46v L_46 L_9_46d L_9a L_8C L_8Av L_8Ad L_8BL L_6r L_IP0 L_IP1 L_IP2 L_44 L_45 L_47l L_a47r L_PFm L_PGs,reactgo_v1,5.520201683044434,5.536068916320801,0.015867233276367188
