ckpt,area_set,rule,healthy_mse,lesioned_mse,delta_mse
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,delayanti_s1,5.011925220489502,5.015230655670166,0.0033054351806640625
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,delayanti_v1,3.0998706817626953,3.1140239238739014,0.014153242111206055
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,delaygo_s1,3.0893588066101074,3.08172345161438,-0.007635354995727539
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,delaygo_v1,3.619675636291504,3.585314989089966,-0.034360647201538086
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,dmcgo,6.993419170379639,6.990971088409424,-0.0024480819702148438
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,dmcnogo,4.313413619995117,4.309152126312256,-0.004261493682861328
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,dmsgo,5.5150017738342285,5.531478404998779,0.01647663116455078
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,dmsnogo,3.4075498580932617,3.4230422973632812,0.015492439270019531
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,fdanti_s1,8.547541618347168,8.565316200256348,0.017774581909179688
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,fdanti_v1,4.298099994659424,4.290364742279053,-0.007735252380371094
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,fdgo_s1,6.100707054138184,6.085782051086426,-0.014925003051757812
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,fdgo_v1,6.773128986358643,6.775998592376709,0.0028696060180664062
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,reactanti_s1,4.271574974060059,4.2664361000061035,-0.005138874053955078
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,reactanti_v1,8.633434295654297,8.627604484558105,-0.005829811096191406
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,reactgo_s1,3.716545581817627,3.6811938285827637,-0.03535175323486328
saved_models\cernn\dummy-vpsnj8eo\last.ckpt,L_V1 L_V2 L_V3 L_V4,reactgo_v1,3.251912832260132,3.271833896636963,0.019921064376831055
